DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
24 Feb 2019,15,Special Service,Special Service,Other Transport incident,Road Vehicle,Car ,In street outside gazetteer location,BR1,Bickley & Sundridge,541650,169550,Bromley,292,Bromley,,,1,1,1,1,333,1
24 Feb 2019,17,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,BR3,Clock House,535950,169250,Beckenham,183,Beckenham,,,1,1,1,1,333,1
24 Feb 2019,17,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Within same building,BR3,Clock House,536850,169450,Beckenham,14,Beckenham,,,1,1,1,1,333,1
24 Feb 2019,17,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR5,Orpington,547850,166350,Orpington,311,Orpington,,,1,1,1,1,333,4
25 Feb 2019,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR2,Bromley Town,541050,168150,Bromley,328,Bromley,,,1,1,1,1,333,1
25 Feb 2019,0,False Alarm,False alarm - Good intent,,Non Residential,Other Religious Use Building,Correct incident location,BR2,Bromley Common & Holwood,541750,165150,Biggin Hill,530,Bromley,,,1,1,1,1,333,1
25 Feb 2019,4,False Alarm,AFA,,Non Residential,Department Store ,Correct incident location,BR6,Orpington,546450,166350,Orpington,326,Orpington,,,1,1,1,1,333,4
25 Feb 2019,6,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,SE19,Crystal Palace & Anerley,533950,170250,Beckenham,373,West Norwood,,,1,1,1,1,333,1
25 Feb 2019,8,False Alarm,AFA,,Non Residential,Leisure Centre ,Correct incident location,BR3,Clock House,536550,169650,Beckenham,156,Beckenham,,,1,1,1,1,333,1
25 Feb 2019,8,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,537450,166950,Beckenham,391,Beckenham,420,Woodside,3,3,3,1,333,1
25 Feb 2019,10,Special Service,Special Service,Other Transport incident,Road Vehicle,Car ,In street outside gazetteer location,SE9,Mottingham,541850,172650,Eltham,372,Eltham,,,1,1,1,1,333,1
25 Feb 2019,12,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,BR5,St. Mary Cray,547650,167550,Orpington,1032,Bromley,,,1,1,1,1,333,3
25 Feb 2019,12,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534550,170050,Beckenham,328,Beckenham,,,1,1,1,1,333,1
25 Feb 2019,12,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR5,St. Mary Cray,547150,167350,Orpington,42,Orpington,,,1,1,1,1,333,1
25 Feb 2019,14,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,BR1,Plaistow,540350,170050,Bromley,195,Bromley,276,Bromley,1,2,2,1,333,1
25 Feb 2019,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,TN16,Biggin Hill,541950,158750,Biggin Hill,222,Biggin Hill,,,1,1,1,1,333,2
26 Feb 2019,0,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,SE20,Crystal Palace & Anerley,534850,169550,Beckenham,296,Beckenham,404,West Norwood,3,4,4,1,333,1
26 Feb 2019,8,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,BR3,Kelsey & Eden Park,536550,167350,Woodside,469,Beckenham,,,1,1,1,1,333,1
26 Feb 2019,9,Special Service,Special Service,Effecting entry/exit,Outdoor,Heathland ,On land associated with building,BR3,Penge & Cator,536550,170250,Beckenham,212,Beckenham,,,1,1,1,1,333,1
26 Feb 2019,11,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR4,West Wickham,538350,166550,Beckenham,404,Beckenham,,,1,1,2,1,333,1
26 Feb 2019,12,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,TN16,Darwin,543250,159350,Biggin Hill,336,Biggin Hill,,,1,1,1,1,333,1
26 Feb 2019,15,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR5,St. Mary Cray,546650,167550,Orpington,283,Orpington,,,1,1,1,1,333,1
26 Feb 2019,16,Fire,Primary Fire,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,BR1,Bickley & Sundridge,540750,170250,Bromley,281,Bromley,282,Bromley,1,2,2,1,333,1
26 Feb 2019,18,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street outside gazetteer location,BR5,St. Mary Cray,547650,166550,Orpington,367,Orpington,,,1,1,1,1,333,1
27 Feb 2019,1,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,In street outside gazetteer location,BR5,Orpington,547750,166150,Orpington,441,Orpington,,,1,1,1,1,333,1
27 Feb 2019,3,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,TN16,Biggin Hill,541150,158250,Biggin Hill,623,Biggin Hill,,,1,1,1,1,333,1
27 Feb 2019,6,False Alarm,AFA,,Non Residential,Single shop ,Within same building,SE20,Penge & Cator,535850,169850,Beckenham,201,Beckenham,,,1,1,1,1,333,1
27 Feb 2019,11,False Alarm,AFA,,Non Residential,Town Hall ,Correct incident location,BR1,Bromley Town,540450,169450,Bromley,132,Bromley,,,1,1,1,1,333,1
27 Feb 2019,19,Fire,Primary Fire,,Non Residential,Private Garden Shed ,On land associated with building,BR5,St. Mary Cray,548050,166650,Orpington,306,Orpington,359,Orpington,1,2,2,3,999,1
27 Feb 2019,20,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,BR5,St. Paul's Cray,546850,168550,Orpington,462,Sidcup,,,1,1,1,1,333,1
27 Feb 2019,22,False Alarm,False alarm - Good intent,,Non Residential,Vehicle Repair Workshop,On land associated with building,BR6,Chelsfield,545550,163950,Orpington,298,Orpington,465,Orpington,2,3,3,1,333,4
28 Feb 2019,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,BR2,Bromley Common & Holwood,542250,167350,Bromley,423,Bromley,424,Bromley,3,5,5,2,666,1
28 Feb 2019,12,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR5,Petts Wood & Knoll,545050,167650,Orpington,377,Orpington,397,Orpington,1,2,2,1,333,1
28 Feb 2019,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR3,Beckenham Town & Copers Cope,538050,169750,Beckenham,256,Beckenham,411,Bromley,2,2,2,1,333,1
28 Feb 2019,17,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR1,Bromley Town,539950,169550,Bromley,144,Bromley,,,1,1,1,1,333,2
01 Mar 2019,8,False Alarm,False alarm - Good intent,,Non Residential,Medical/health centre,Correct incident location,BR1,Plaistow,540150,170950,Bromley,284,Bromley,306,Bromley,2,3,3,1,333,2
01 Mar 2019,11,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR7,Mottingham,542750,171450,Eltham,352,Eltham,427,Bromley,2,2,4,9,2997,5
02 Mar 2019,0,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,BR1,Bromley Town,539950,169750,Bromley,472,Bromley,,,1,1,1,1,333,1
02 Mar 2019,2,Special Service,Special Service,Suicide/attempts,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR4,West Wickham,537950,166050,Woodside,,,,,1,1,1,2,666,1
02 Mar 2019,12,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,BR3,Beckenham Town & Copers Cope,538550,169050,Beckenham,321,Beckenham,461,Bromley,2,2,2,1,333,1
02 Mar 2019,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE26,Beckenham Town & Copers Cope,536850,171250,Beckenham,747,Bromley,,,1,1,1,1,333,1
02 Mar 2019,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR1,Bromley Town,539850,169950,Bromley,162,Bromley,,,2,2,2,1,333,1
02 Mar 2019,13,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,BR3,Beckenham Town & Copers Cope,538550,169050,Beckenham,230,Beckenham,329,Bromley,2,2,2,1,333,1
02 Mar 2019,15,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,BR3,Beckenham Town & Copers Cope,537050,170950,Beckenham,408,Forest Hill,,,1,1,1,1,333,1
02 Mar 2019,16,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Plaistow,539550,170450,Bromley,208,Bromley,327,Bromley,2,3,3,1,333,1
