DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
01 Jan 2019,1,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR2,Bromley Town,541150,168350,Bromley,,,,,1,1,1,1,333,2
01 Jan 2019,4,False Alarm,False alarm - Malicious,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,BR1,Bickley & Sundridge,541650,168750,Bromley,318,Bromley,596,Beckenham,2,2,2,1,333,1
01 Jan 2019,8,False Alarm,AFA,,Non Residential,Petrol station ,Correct incident location,BR6,Farnborough & Crofton,543250,165150,Orpington,322,Orpington,324,Orpington,1,2,2,1,333,1
01 Jan 2019,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR3,Beckenham Town & Copers Cope,538050,169350,Beckenham,318,Bromley,,,1,1,1,1,333,2
01 Jan 2019,15,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,BR1,Bickley & Sundridge,542250,169650,Bromley,399,Sidcup,,,1,1,1,1,333,1
01 Jan 2019,17,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,BR2,Bromley Town,540850,168650,Bromley,187,Bromley,197,Bromley,1,2,2,1,333,1
01 Jan 2019,19,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR7,Chislehurst,544250,171550,Sidcup,433,Eltham,,,1,1,1,1,333,1
01 Jan 2019,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR7,Chislehurst,543250,171350,Eltham,385,Sidcup,451,Sidcup,2,3,3,1,333,1
02 Jan 2019,13,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,SE9,Mottingham,542250,171950,Eltham,481,Sidcup,550,Lee Green,2,2,2,1,333,2
02 Jan 2019,14,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,BR3,Beckenham Town & Copers Cope,538250,169350,Beckenham,242,Beckenham,,,1,1,1,1,333,1
02 Jan 2019,15,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR2,Shortlands & Park Langley,539850,168250,Bromley,224,Bromley,,,1,1,1,1,333,1
02 Jan 2019,15,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street close to gazetteer location,DA14,St. Paul's Cray,547250,170350,Sidcup,311,Sidcup,,,1,1,1,1,333,1
02 Jan 2019,15,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE26,Penge & Cator,534950,170750,Beckenham,,,,,1,1,1,1,333,1
02 Jan 2019,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,537450,166950,Beckenham,452,Bromley,521,Woodside,2,2,2,1,333,1
02 Jan 2019,17,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,BR6,St. Mary Cray,546350,166850,Orpington,359,Orpington,,,1,1,1,1,333,1
02 Jan 2019,17,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,BR6,Farnborough & Crofton,545350,165750,Orpington,377,Orpington,,,1,1,1,1,333,1
02 Jan 2019,18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Mary Cray,547850,168150,Orpington,408,Orpington,,,1,1,1,1,333,1
02 Jan 2019,20,False Alarm,False alarm - Good intent,,Outdoor,Roadside vegetation ,Open land/water - nearest gazetteer location,BR5,St. Paul's Cray,547950,168250,Orpington,416,Orpington,,,1,1,1,1,333,1
02 Jan 2019,22,Special Service,Special Service,Hazardous Materials incident,Dwelling,House - single occupancy ,Correct incident location,BR6,St. Mary Cray,546450,167250,Orpington,277,Orpington,,,1,1,1,2,666,1
03 Jan 2019,2,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bickley & Sundridge,542750,168150,Bromley,594,Bromley,753,Orpington,2,2,2,1,333,1
03 Jan 2019,11,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR5,St. Mary Cray,546950,167150,Orpington,282,Orpington,462,Orpington,1,2,2,1,333,1
03 Jan 2019,13,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR3,Clock House,536250,169550,Beckenham,466,Woodside,,,1,1,1,1,333,1
03 Jan 2019,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Shortlands & Park Langley,539750,168450,Bromley,325,Bromley,,,2,2,1,1,333,1
03 Jan 2019,15,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,On land associated with building,BR7,Chislehurst,543850,171050,Sidcup,435,Sidcup,,,1,1,1,1,333,2
03 Jan 2019,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Mary Cray,547350,168050,Orpington,309,Orpington,373,Orpington,1,2,2,3,999,1
03 Jan 2019,20,Fire,Secondary Fire,,Outdoor,Heathland ,On land associated with building,BR7,Chislehurst,544250,171550,Sidcup,420,Eltham,,,1,1,1,1,333,1
03 Jan 2019,20,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Bromley Town,540950,168250,Bromley,232,Bromley,249,Bromley,2,3,3,1,333,1
04 Jan 2019,4,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TN16,Biggin Hill,541350,159150,Biggin Hill,315,Biggin Hill,,,1,1,1,1,333,2
04 Jan 2019,9,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR6,Orpington,546450,164950,Orpington,254,Orpington,452,Orpington,2,3,3,3,999,2
04 Jan 2019,10,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR2,Bromley Common & Holwood,543350,166950,Bromley,498,Bromley,517,Orpington,3,3,3,1,333,2
04 Jan 2019,12,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR3,Clock House,536850,169450,Beckenham,88,Orpington,,,1,1,2,2,666,1
04 Jan 2019,13,Fire,Primary Fire,,Road Vehicle,Motorcycle ,Open land/water - nearest gazetteer location,BR6,St. Mary Cray,545850,167250,Orpington,441,Orpington,,,1,1,1,1,333,2
04 Jan 2019,14,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR7,Mottingham,542950,171150,Eltham,352,Sidcup,494,Eltham,2,2,2,1,333,1
04 Jan 2019,16,Special Service,Special Service,Lift Release,Non Residential,Large supermarket ,Correct incident location,BR6,Orpington,546050,165950,Orpington,,,,,1,1,1,1,333,1
04 Jan 2019,17,False Alarm,AFA,,Non Residential,Other Religious Use Building,Correct incident location,BR2,Bromley Common & Holwood,541750,165150,Biggin Hill,537,Bromley,,,1,1,1,1,333,1
04 Jan 2019,23,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR3,Beckenham Town & Copers Cope,537050,169450,Beckenham,147,Beckenham,,,1,1,1,1,333,2
05 Jan 2019,1,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,BR5,St. Paul's Cray,546650,169050,Orpington,435,Orpington,,,1,1,1,1,333,3
05 Jan 2019,2,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR3,Beckenham Town & Copers Cope,537050,169450,Beckenham,210,Beckenham,409,Bromley,2,2,2,1,333,1
05 Jan 2019,4,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR3,Beckenham Town & Copers Cope,537050,169450,Beckenham,179,Beckenham,,,2,2,2,1,333,1
05 Jan 2019,6,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,SE26,Penge & Cator,534550,171250,Beckenham,367,West Norwood,381,West Norwood,2,3,3,1,333,1
05 Jan 2019,12,False Alarm,AFA,,Non Residential,Leisure Centre ,Correct incident location,BR6,Orpington,546450,166250,Orpington,324,Orpington,,,1,1,1,1,333,1
05 Jan 2019,14,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Paul's Cray,547050,169050,Orpington,751,Orpington,,,1,1,1,1,333,1
05 Jan 2019,15,False Alarm,False alarm - Good intent,,Non Residential,Leisure Centre ,Correct incident location,BR3,Shortlands & Park Langley,538050,168250,Beckenham,310,Beckenham,,,1,1,1,1,333,1
05 Jan 2019,17,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,Petts Wood & Knoll,544350,167550,Orpington,399,Orpington,401,Orpington,1,2,2,1,333,2
05 Jan 2019,17,Fire,Secondary Fire,,Outdoor Structure,Fence,Correct incident location,BR5,St. Mary Cray,547650,167550,Orpington,661,Sidcup,,,1,1,1,1,333,2
05 Jan 2019,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,BR2,Shortlands & Park Langley,539750,168450,Bromley,293,Bromley,415,Beckenham,2,2,2,1,333,1
05 Jan 2019,23,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR7,Chislehurst,544250,171850,Eltham,486,Eltham,,,1,1,1,1,333,1
06 Jan 2019,4,Special Service,Special Service,Flooding,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR5,St. Mary Cray,547150,167650,Orpington,,,,,1,1,1,2,666,2
06 Jan 2019,4,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR6,Farnborough & Crofton,544350,164550,Orpington,703,Bromley,291,Orpington,2,3,3,2,666,4
06 Jan 2019,10,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,BR3,Kelsey & Eden Park,537950,168650,Beckenham,245,Beckenham,339,Bromley,2,2,2,1,333,1
06 Jan 2019,13,Fire,Secondary Fire,,Outdoor,Hedge,In street close to gazetteer location,DA14,St. Paul's Cray,546950,170350,Sidcup,285,Sidcup,,,1,1,1,1,333,13
06 Jan 2019,16,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR6,Chelsfield,546450,164350,Orpington,286,Orpington,355,Orpington,1,2,2,1,333,1
06 Jan 2019,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Within same building,BR3,Kelsey & Eden Park,537450,166550,Beckenham,432,Beckenham,,,1,1,1,1,333,1
06 Jan 2019,17,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Within same building,BR3,Kelsey & Eden Park,537450,166550,Beckenham,563,Beckenham,,,1,1,1,1,333,2
06 Jan 2019,18,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Paul's Cray,546650,169050,Orpington,354,Orpington,,,1,2,2,1,333,2
06 Jan 2019,20,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Plaistow,539550,170450,Bromley,205,Bromley,209,Bromley,2,3,3,1,333,1
07 Jan 2019,9,False Alarm,AFA,,Non Residential,Pre School/nursery ,Correct incident location,BR1,Bickley & Sundridge,541550,169850,Bromley,215,Bromley,,,1,1,1,1,333,1
07 Jan 2019,10,Special Service,Special Service,Stand By,Non Residential,Call Centre ,On land associated with building,BR3,Clock House,536550,169550,Beckenham,164,Beckenham,478,Bromley,2,2,2,1,333,1
07 Jan 2019,10,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR6,Chelsfield,545750,163550,Orpington,330,Orpington,,,1,1,1,1,333,1
07 Jan 2019,11,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,BR1,Bromley Town,540250,168950,Bromley,243,Bromley,,,1,1,1,1,333,1
07 Jan 2019,13,Special Service,Special Service,Lift Release,Non Residential,Other medical establishment (including surgery) ,Correct incident location,BR6,St. Mary Cray,546750,166950,Orpington,,,,,1,1,1,1,333,1
07 Jan 2019,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR3,Kelsey & Eden Park,536350,167950,Beckenham,219,Beckenham,348,Woodside,2,2,2,1,333,1
07 Jan 2019,17,False Alarm,AFA,,Dwelling,Bungalow - single occupancy ,Correct incident location,BR6,Orpington,547650,165650,Orpington,163,Orpington,175,Orpington,1,2,2,1,333,1
07 Jan 2019,17,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR3,Beckenham Town & Copers Cope,537550,169850,Beckenham,221,Beckenham,530,Bromley,2,2,2,2,666,1
07 Jan 2019,17,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,BR6,Orpington,547650,165650,Orpington,163,Orpington,171,Orpington,1,2,2,1,333,1
07 Jan 2019,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR4,Hayes & Coney Hall,540450,164850,Addington,427,Addington,447,Addington,1,2,2,2,666,1
08 Jan 2019,2,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR1,Bromley Town,539850,169550,Bromley,342,Bromley,,,1,1,1,1,333,1
08 Jan 2019,5,False Alarm,AFA,,Non Residential,Police station ,Correct incident location,BR1,Bromley Town,540450,168650,Bromley,249,Bromley,,,1,1,1,1,333,1
08 Jan 2019,9,Special Service,Special Service,Effecting entry/exit,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR6,St. Mary Cray,546550,166750,Orpington,318,Orpington,,,1,1,1,2,666,1
08 Jan 2019,13,False Alarm,AFA,,Non Residential,Police station ,Within same building,BR1,Bromley Town,540450,168650,Bromley,192,Bromley,,,1,1,1,1,333,1
08 Jan 2019,23,False Alarm,AFA,,Non Residential,Health Centre ,Correct incident location,BR3,Clock House,536550,169650,Beckenham,148,Beckenham,,,1,1,1,1,333,1
09 Jan 2019,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534250,170050,Beckenham,353,West Norwood,360,Beckenham,2,2,2,1,333,1
09 Jan 2019,5,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE20,Crystal Palace & Anerley,534450,170050,Beckenham,370,Beckenham,440,West Norwood,2,2,2,1,333,1
09 Jan 2019,9,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR4,West Wickham,538250,165950,Woodside,450,Woodside,,,1,1,1,1,333,1
09 Jan 2019,9,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,BR5,St. Paul's Cray,547250,169650,Sidcup,321,Sidcup,,,1,2,2,1,333,2
09 Jan 2019,10,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR2,Shortlands & Park Langley,539550,169050,Beckenham,318,Bromley,,,1,1,1,1,333,1
09 Jan 2019,16,Special Service,Special Service,Lift Release,Non Residential,Department Store ,Within same building,BR1,Bromley Town,540250,169150,Bromley,344,Bromley,,,1,1,1,1,333,1
09 Jan 2019,16,Special Service,Special Service,Lift Release,Non Residential,Purpose built office ,Correct incident location,BR6,St. Mary Cray,546750,166950,Orpington,,,,,1,1,1,1,333,1
09 Jan 2019,16,False Alarm,AFA,,Non Residential,Police station ,Within same building,BR1,Bromley Town,540450,168650,Bromley,497,Beckenham,,,1,1,1,1,333,1
09 Jan 2019,19,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,SE20,Penge & Cator,535450,169750,Beckenham,270,Beckenham,,,1,1,1,1,333,1
10 Jan 2019,10,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,BR2,Hayes & Coney Hall,539650,165550,Addington,370,Addington,,,1,1,1,1,333,1
10 Jan 2019,11,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,BR7,Chislehurst,543250,171350,Eltham,345,Eltham,439,Sidcup,2,2,2,1,333,1
10 Jan 2019,15,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),Open land/water - nearest gazetteer location,BR3,Shortlands & Park Langley,538250,167350,Beckenham,457,Beckenham,,,1,1,1,1,333,1
10 Jan 2019,17,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR6,Orpington,546050,165050,Orpington,252,Orpington,293,Orpington,1,2,2,1,333,1
10 Jan 2019,19,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,BR2,Bromley Common & Holwood,542250,167350,Bromley,300,Bromley,330,Bromley,3,5,5,3,999,1
10 Jan 2019,20,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street close to gazetteer location,BR3,Beckenham Town & Copers Cope,537450,169750,Beckenham,184,Beckenham,455,Woodside,2,2,2,2,666,1
11 Jan 2019,1,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,BR5,St. Mary Cray,547150,167350,Orpington,448,Orpington,,,1,1,1,1,333,3
11 Jan 2019,11,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,BR5,St. Mary Cray,547050,168450,Orpington,288,Orpington,,,1,2,2,3,999,1
11 Jan 2019,11,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street outside gazetteer location,BR1,Bromley Town,540250,169450,Bromley,114,Bromley,,,1,1,1,1,333,2
11 Jan 2019,14,Special Service,Special Service,Other Transport incident,Road Vehicle,Car ,On land associated with building,BR1,Bromley Town,540150,169450,Bromley,186,Bromley,,,1,1,1,1,333,1
11 Jan 2019,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,537450,166950,Beckenham,416,Beckenham,591,Addington,2,2,2,1,333,1
11 Jan 2019,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE19,Crystal Palace & Anerley,533550,170550,West Norwood,486,West Norwood,573,Beckenham,2,2,2,1,333,1
11 Jan 2019,21,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,BR2,Bromley Town,540850,168650,Bromley,204,Bromley,209,Bromley,1,2,2,1,333,1
11 Jan 2019,22,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,BR2,Darwin,542550,163050,Biggin Hill,,,,,2,3,3,3,999,2
11 Jan 2019,23,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,SE20,Penge & Cator,535450,170350,Beckenham,225,Beckenham,,,1,1,1,1,333,1
12 Jan 2019,1,False Alarm,AFA,,Non Residential,Health Centre ,Correct incident location,BR2,Bromley Town,540650,167750,Bromley,393,Bromley,,,1,1,1,2,666,1
12 Jan 2019,11,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR5,Petts Wood & Knoll,544050,167550,Orpington,511,Orpington,,,1,1,1,1,333,2
12 Jan 2019,13,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Shortlands & Park Langley,539750,168450,Bromley,515,Beckenham,663,Forest Hill,2,2,2,1,333,1
12 Jan 2019,15,False Alarm,False alarm - Malicious,,Outdoor Structure,Post box ,Correct incident location,BR2,Bromley Common & Holwood,541950,167550,Bromley,319,Bromley,,,1,1,1,1,333,1
12 Jan 2019,17,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR7,St. Paul's Cray,545850,168550,Orpington,418,Orpington,438,Orpington,1,2,2,8,2664,1
12 Jan 2019,22,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,BR7,Mottingham,542350,170750,Bromley,342,Bromley,344,Bromley,1,2,2,1,333,1
13 Jan 2019,11,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR1,Bromley Town,540250,168850,Bromley,179,Bromley,196,Bromley,4,5,5,2,666,1
13 Jan 2019,12,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,BR7,Mottingham,542950,171350,Eltham,295,Bromley,,,1,1,1,1,333,1
13 Jan 2019,13,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534450,170350,Beckenham,458,West Norwood,,,1,1,1,1,333,1
13 Jan 2019,14,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,536950,170150,Beckenham,333,Beckenham,774,Beckenham,2,2,2,1,333,1
13 Jan 2019,14,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,BR2,Bromley Common & Holwood,541450,168550,Bromley,324,Bromley,,,1,1,1,2,666,1
13 Jan 2019,17,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Bromley Town,540850,168650,Bromley,260,Bromley,262,Bromley,1,2,2,1,333,1
13 Jan 2019,20,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE20,Crystal Palace & Anerley,534850,169350,Beckenham,250,Beckenham,357,Woodside,2,2,2,3,999,2
13 Jan 2019,21,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,SE19,Crystal Palace & Anerley,534050,169950,Beckenham,435,West Norwood,489,West Norwood,1,2,2,1,333,1
14 Jan 2019,2,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR3,Beckenham Town & Copers Cope,537450,169550,Beckenham,231,Beckenham,,,1,1,1,1,333,2
14 Jan 2019,8,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE20,Penge & Cator,535650,169950,Beckenham,,,,,1,1,1,1,333,1
14 Jan 2019,9,Special Service,Special Service,Lift Release,Non Residential,Purpose built office ,Correct incident location,BR1,Bromley Town,540450,168750,Bromley,,,,,1,1,1,1,333,1
14 Jan 2019,9,False Alarm,AFA,,Non Residential,Cinema ,Correct incident location,BR2,Bromley Town,540250,168650,Bromley,198,Bromley,,,1,1,1,1,333,2
14 Jan 2019,11,Special Service,Special Service,Lift Release,Non Residential,Doctors surgery,Correct incident location,BR6,St. Mary Cray,546750,166950,Orpington,196,Orpington,,,1,1,1,1,333,1
14 Jan 2019,19,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR5,Petts Wood & Knoll,545250,167850,Orpington,336,Orpington,,,1,1,1,1,333,1
14 Jan 2019,22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR1,Bromley Town,539850,169950,Bromley,226,Bromley,227,Bromley,1,2,2,1,333,1
15 Jan 2019,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Paul's Cray,546550,169350,Sidcup,350,Orpington,369,Orpington,1,2,2,1,333,2
15 Jan 2019,1,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,Petts Wood & Knoll,544350,167750,Orpington,443,Orpington,,,1,1,1,1,333,1
15 Jan 2019,9,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,BR7,Chislehurst,542550,170450,Bromley,441,Bromley,,,1,1,1,1,333,1
15 Jan 2019,12,Special Service,Special Service,RTC,Road Vehicle,Motorcycle ,In street outside gazetteer location,BR6,Chelsfield,545650,163750,Orpington,315,Orpington,320,Orpington,1,2,3,2,666,2
15 Jan 2019,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR2,Shortlands & Park Langley,539650,168850,Bromley,370,Bromley,381,Beckenham,2,2,2,1,333,1
15 Jan 2019,15,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR1,Bickley & Sundridge,541350,169850,Bromley,256,Bromley,334,Bromley,1,2,2,1,333,1
15 Jan 2019,18,Fire,Primary Fire,,Road Vehicle,Multiple Vehicles ,Nearby address - no building in street,BR2,Hayes & Coney Hall,540750,165150,Bromley,755,Addington,,,1,1,2,2,666,1
15 Jan 2019,20,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street remote from gazetteer location,BR2,Hayes & Coney Hall,541550,165050,Biggin Hill,431,Bromley,,,1,1,1,1,333,1
15 Jan 2019,21,Fire,Primary Fire,,Road Vehicle,Van ,In street outside gazetteer location,BR6,Petts Wood & Knoll,545950,165950,Orpington,180,Orpington,,,1,1,1,2,666,16
16 Jan 2019,9,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,In street outside gazetteer location,BR2,Bromley Common & Holwood,541350,168050,Bromley,249,Bromley,,,1,1,1,1,333,1
16 Jan 2019,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Bromley Town,540950,168250,Bromley,256,Bromley,,,1,1,1,1,333,1
16 Jan 2019,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Penge & Cator,536150,169950,Beckenham,565,Woodside,,,1,1,1,1,333,1
16 Jan 2019,17,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,BR1,Bromley Town,540550,169250,Bromley,257,Bromley,271,Bromley,2,3,3,4,1332,4
17 Jan 2019,8,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR5,St. Paul's Cray,546650,169750,Sidcup,496,Sidcup,,,1,1,1,1,333,1
17 Jan 2019,8,False Alarm,AFA,,Non Residential,Pre School/nursery ,Correct incident location,BR2,Bromley Common & Holwood,541450,168350,Bromley,350,Bromley,,,1,1,1,1,333,1
17 Jan 2019,8,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street close to gazetteer location,BR5,St. Mary Cray,548150,168250,Orpington,498,Orpington,,,1,1,1,1,333,2
17 Jan 2019,10,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR1,Bromley Town,541050,168850,Bromley,251,Bromley,278,Bromley,1,2,2,2,666,2
17 Jan 2019,11,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR2,Bromley Common & Holwood,542050,164750,Biggin Hill,488,Orpington,703,Bromley,2,2,2,2,666,2
17 Jan 2019,13,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,537950,169750,Beckenham,320,Beckenham,407,Bromley,2,2,2,1,333,1
17 Jan 2019,18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bromley Town,539850,169950,Bromley,176,Bromley,196,Bromley,1,2,2,1,333,1
18 Jan 2019,1,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,SE26,Penge & Cator,535450,170850,Beckenham,289,Beckenham,392,Forest Hill,2,2,2,1,333,1
18 Jan 2019,2,False Alarm,AFA,,Non Residential,Large supermarket ,Within same building,BR3,Kelsey & Eden Park,535750,168150,Woodside,256,Woodside,,,1,1,1,1,333,1
